oxidizer,fuel,of_ratio,Pc_psia,eps,Pamb_psia,Isp_s,Tc_R,MW,gamma
LOX,RP-1,3.669916509145141,1762.2764136802573,42.333666312496355,7.766259211360866,315.4321124476532,6755.384338738293,26.499069075318907,1.1312308549379126
LOX,RP-1,2.407999462684417,2960.380516090779,28.967430564863687,9.530907967946469,333.10477247157326,6779.31225179587,23.061595631978058,1.150754638425899
LOX,RP-1,2.4146515542092564,1087.790577176669,82.4530527572126,6.205036240371976,292.70977618367186,6554.280484498977,22.818590991522328,1.143423124152258
LOX,RP-1,2.414382750768384,1883.2084058876762,74.92801264868241,14.340332214127152,282.53062266148635,6682.089681934016,22.967572286003755,1.1472300435397926
LOX,RP-1,2.789651303280211,1131.416426694517,25.867745219901398,7.220605483550748,319.3941737570951,6691.976695801915,24.144432114646094,1.1344269558100222
LOX,RP-1,2.9785501968102372,539.4116597488548,16.994527813099886,7.397396216183309,293.4386722100862,6497.6525664644105,24.432423142018983,1.1289512909487796
LOX,RP-1,3.211603559247518,841.928909142325,98.84121298275572,12.978369034916273,252.33628225436016,6610.629467841482,25.195233533259437,1.1295415460990288
LOX,RP-1,2.884899304113111,443.47069465034645,21.206274322489776,1.7611448883581307,326.0484432048552,6442.782326214651,24.104628147387995,1.1288043707583384
LOX,RP-1,3.029057974731529,1375.6385220682655,19.29361479406883,9.865534529727253,315.61825862207337,6758.666653404479,24.90724538603465,1.1328547898018786
LOX,RP-1,2.939132547003865,1407.937878768873,83.33897478199361,6.241555900577191,304.98474406526526,6764.495729725757,24.66573164358162,1.1337403988288441
LOX,RP-1,3.6577589458820023,2364.2023885793665,27.667443514999604,12.69284144308695,314.02334162706273,6840.027318484282,26.59152398988312,1.1324575327711832
LOX,RP-1,2.4777541578733295,1935.7989059944678,64.66091679104527,12.082310390537696,296.0746055381051,6730.994889575161,23.23226784796676,1.1447416467698301
LOX,RP-1,3.736196001858171,2708.807844832807,67.52781979286901,5.811366496168619,331.8194578000033,6862.965470674336,26.802337449460914,1.1328774909305785
LOX,RP-1,2.573657840513909,709.9606407497893,81.07878975391048,10.874452394332748,264.10173888366563,6521.284550485122,23.284596722982734,1.13582196478226
LOX,RP-1,3.0965313299362007,1901.0114176525747,17.682595460999288,10.144694078595503,321.40972948276004,6848.964403142884,25.20983893231889,1.1337752677771136
LOX,RP-1,2.371621041489433,2669.565611761436,57.826682894063396,3.972021583429521,344.51329260296353,6724.310265844359,22.87570139469043,1.1519557129982738
LOX,RP-1,3.3168499156194127,2093.9670665463336,40.940950842035996,4.212253444637471,339.60496488485614,6858.639047165989,25.79755959563267,1.1329686424724823
LOX,RP-1,3.0267160258838173,300.3821582857986,56.27601154444848,4.056604262679472,258.4140184339078,6337.38384753655,24.3594447816436,1.1258676706767092
LOX,RP-1,2.688656998387621,2169.3111297603277,21.63045229635137,12.93227242148211,323.5612171085883,6849.81404720744,24.0411017186654,1.1393946679870033
LOX,RP-1,2.1328931403186577,2759.4846756288116,27.133602564571056,4.506690263527027,333.1687485307874,6416.382275690089,21.713151243249253,1.170773012607557
LOX,RP-1,2.574187587688989,1570.223355816334,87.30459783466723,0.31264245527187917,367.0833939845265,6726.393616453801,23.53393899494829,1.1403456667612089
LOX,RP-1,2.408762465514208,2062.5279344369783,47.28254225580955,13.71350805661769,299.9249056010771,6698.665164119612,22.968630193823355,1.1481358056553728
LOX,RP-1,3.72921290247511,914.3583172499241,10.62279393179537,5.266844824102681,301.66584834263864,6563.810870255515,26.3630692064678,1.1283510655601776
LOX,RP-1,3.3901868790606153,481.7096258958629,9.09272971080246,4.799848325596688,295.318203777347,6438.13069840699,25.41026950662064,1.1263406005415328
LOX,RP-1,3.519168172471348,2548.7712767852477,11.325931777005746,4.168360723463706,317.4583335914966,6885.961832082366,26.33253209931924,1.133072821107408
LOX,RP-1,2.884025985391813,2373.3627370073286,33.93928128665996,1.5028295876120847,352.6079072366948,6908.651079722147,24.696363945175964,1.1367175968383394
LOX,RP-1,3.046522825820447,1161.3398158240166,71.40871976415835,7.102702124934338,287.582132526053,6710.414212671982,24.89153498066704,1.1319657013721303
LOX,RP-1,3.4337259660530863,1926.1127092041017,82.19385545663947,10.690458820051992,283.84645776757117,6819.373955530209,26.03319124609217,1.132185038211705
LOX,RP-1,3.6797577767357095,971.6891149906969,45.335388807332585,11.753216786415106,258.83109064038234,6588.878038403366,26.287906841810575,1.1286951024649687
LOX,RP-1,3.0965034512019143,856.6384517192309,25.285108522798136,7.340146493479279,305.7304234000353,6623.00191450165,24.911281381184573,1.1302594972232505
LOX,RP-1,3.768708447927221,2662.8030106028696,49.098849089007295,10.261385306095102,317.3645592153167,6851.5457227440875,26.85852798520486,1.1327651123595273
LOX,RP-1,2.5564830398167375,946.7624138363634,96.08751938067735,12.205782464432009,268.9521079577166,6589.5741025073485,23.31301298695162,1.1378910027438482
LOX,RP-1,2.613815503986811,1642.4029826827045,30.2175344964035,13.956442114103686,306.062766591378,6752.778608796328,23.689950130250182,1.1395814366165953
LOX,RP-1,2.0639906207404994,409.90377077425927,65.40727227651685,8.717225687546614,256.90307651811236,6008.305793312589,21.03809604624349,1.158379412716578
LOX,RP-1,2.763989968497819,1867.05399154467,19.917351394821125,0.8483439148758838,343.2988119719743,6825.890872278848,24.238013474824662,1.1372667261032783
LOX,RP-1,2.1947449925121676,2352.2685440186906,76.44710492229012,11.50649037558746,298.8021026061703,6490.46233315503,22.00868040512575,1.1634741658265813
LOX,RP-1,2.6455515577565696,2931.685117057092,95.45029512133311,8.127020792427043,324.5448961808462,6916.356565459392,23.991935814507812,1.1419555387276181
LOX,RP-1,2.7557928270778986,397.23815493889606,39.34266726253557,0.11108827881477056,353.54329627993906,6404.242502877375,23.689154123465045,1.1296378723333216
LOX,RP-1,3.1800973115387734,619.7703180885226,5.8624024537870225,5.304438276414258,293.0156411649283,6527.728025404703,25.005263625491988,1.1283291953379107
LOX,RP-1,2.693034159310554,2055.6478708126106,54.542284901398126,14.643396862110306,293.5949390541614,6836.497637227283,24.03770962310481,1.1390278491992543
LOX,RP-1,3.46266264185907,2706.6488428590824,68.73733801829275,11.091156672660247,312.8540855700993,6912.282011160827,26.23350425716211,1.1334772854112032
LOX,RP-1,3.464014108905425,1073.5162611907112,28.09562908056134,0.23268341662023306,340.19373039152896,6650.068096962951,25.872966696826232,1.129625197040445
LOX,RP-1,3.659935557589865,1169.585766138433,43.87466410719465,1.3625408574130484,338.7162730647931,6643.264995613826,26.31899607245105,1.1295248797343378
LOX,RP-1,3.460619316880437,1778.5718560179207,43.15922455012587,6.038883255576529,326.40832495089194,6792.777343669246,26.06146892430373,1.1317699254291562
LOX,RP-1,2.6472829406584943,2394.9265073069055,37.643901098554046,1.861376006863674,352.9126791905541,6863.553682761008,23.931114071902822,1.1408311117204828
LOX,RP-1,2.3929190171893864,2649.516286982006,14.201312395828303,3.316363952186435,332.66679047467665,6741.801088715926,22.967157754608227,1.1507376850151552
LOX,RP-1,3.7969145241916227,1558.4168183846157,10.72614699159758,6.943252379472738,304.861573261735,6697.443760516973,26.699867066256527,1.130528365992014
LOX,RP-1,3.256231970987967,1939.3977507248671,48.8678018186726,10.86594962049429,309.87220707107406,6843.2091121167705,25.622054729125093,1.1329265506699138
LOX,RP-1,3.626540691963675,2072.7529716142153,88.68485247962943,1.6945875250924602,350.77352090967844,6808.725785169245,26.475279723408473,1.1319823381956722
LOX,RP-1,2.9914946817648618,1321.2139584318513,99.6023661386329,10.526859481974004,273.91000987197003,6747.470140515083,24.78942692744317,1.1329781770828362
LOX,RP-1,2.478642347403472,579.9151191893939,69.64867264198945,1.7782774163323136,325.04994384350516,6435.1199166066,22.885096117921755,1.1371063472305223
LOX,RP-1,3.695322039236771,374.1194558884918,55.35177788657688,7.66196650892004,239.6324240804839,6329.04290793875,25.965965084961784,1.1244799092758195
LOX,RP-1,3.0002757208382453,2859.1245123981216,24.064982791075025,8.348610662656055,335.6689834360116,6967.56500197958,25.104230048132617,1.1362994458106397
LOX,RP-1,2.4478130142406194,1861.891523089881,85.46709386069864,4.804286148652835,326.7324104351086,6702.789768860516,23.101432588621797,1.145682446476652
LOX,RP-1,2.8643751758751623,506.09716301811,40.0534847957596,0.15360973532194375,353.64592083025997,6477.860871385987,24.090754591656044,1.1296380438860538
LOX,RP-1,3.208961759404134,2199.401981810689,37.14195166563147,0.17498972565601761,353.67729133898024,6883.72316832626,25.554850715583925,1.1336962531259114
LOX,RP-1,2.898668344083049,904.7290783220517,90.54737522362298,3.809175935625865,303.53715441246965,6639.217483520505,24.390888001307637,1.1320804132339666
LOX,RP-1,2.284128264575881,451.5738087220061,20.636301130247176,9.64116042686869,265.94608216756876,6262.799370999333,22.057667970115453,1.143128571890847
LOX,RP-1,3.4677798704900082,1544.0112928469382,18.615834711392555,4.510905704852856,323.1862915322185,6751.669946879191,26.02173891002111,1.1311577881790755
LOX,RP-1,2.9021095742456757,2354.529059025381,32.64483497243347,10.272957194109729,329.6249414581783,6907.8641925020465,24.747355309890057,1.1364671933377177
LOX,RP-1,3.5939943938489067,704.4996476254473,46.97535948333085,7.8188023126029,262.340413139822,6514.591418981221,25.99142382461435,1.1274693078643105
LOX,RP-1,3.4793138023616432,633.1013377019085,39.126647502832554,3.7832993154348724,305.7547611748234,6501.743702551344,25.70780421086971,1.1272833689842852
LOX,RP-1,3.535410212934611,2042.218966535054,12.49091727972926,8.641081159706056,313.06925145903074,6820.260242506791,26.278613432795037,1.1321302708208874
LOX,RP-1,3.735004387617747,1918.4615668735912,12.634945909955258,3.5828242967679422,315.0497444658543,6766.87046848904,26.661938450044282,1.1314758764005879
LOX,RP-1,3.637202582500511,2074.129244593687,62.546916964802044,14.317378807888332,281.22139136156596,6806.986486332533,26.497367297582674,1.1319637849888395
LOX,RP-1,2.247707602863821,553.2290618791199,5.020627269040931,11.1010619774509,286.12192741655946,6275.9612891083725,21.950767592759302,1.1467869425989283
LOX,RP-1,3.1434711787431744,2514.9420494031738,37.61148229743065,12.533681220791742,322.1865264951086,6927.108569396559,25.44090486916164,1.1346449880606015
LOX,RP-1,3.165691403138294,1683.9954361075372,8.416296087503381,2.0104750907768127,314.92257457058145,6810.410123243786,25.34230478201124,1.1328130541068098
LOX,RP-1,2.056672147270014,619.0740451712816,39.71721289148763,2.8583538716700114,309.8324429180529,6064.334816107743,21.071520488391904,1.1633525651374461
LOX,RP-1,3.3333421134001435,2589.470424747909,30.70882198761239,14.611870864203208,317.55214606266543,6917.7549918449395,25.920868721124055,1.133768060507253
LOX,RP-1,3.599285267487555,2868.3831449425543,67.03049531469466,6.621967573883362,332.5951096555814,6905.580441576806,26.549733727927848,1.1333503957737239
LOX,RP-1,2.5699495410950157,2139.032058668746,64.02202834241875,4.523448804460205,341.0394161146844,6803.910302047133,23.615375581961,1.1422499227115939
